"","region","nb_accidents_pondere","nb_habitants","nb_accidents_ratio100k"
"1","Auvergne-Rhône-Alpes",6901,8153712,84.636
"2","Bourgogne-Franche-Comté",2991,2787615,107.296
"3","Bretagne",2718,3399434,79.954
"4","Centre-Val de Loire",2348,2596149,90.442
"5","Corse",434,342080,126.871
"6","Grand Est",6553,5591970,117.186
"7","Hauts-de-France",5971,6066835,98.42
"8","Île-de-France",11439,12278257,93.165
"9","Normandie",3899,3378957,115.391
"10","Nouvelle-Aquitaine",6213,6081818,102.157
"11","Occitanie",6106,6016287,101.491
"12","Pays de la Loire",2174,3930665,55.309
"13","Provence-Alpes-Côte d'Azur",2808,5129282,54.745
"14","Guadeloupe",268,400170,66.972
"15","Martinique",234,371246,63.031
"16","Guyane",39,294071,13.262
"17","La Réunion",575,865826,66.411
