"Num_Acc","num_veh","id_usa","date","ville","id_code_insee","latitude","longitude","descr_cat_veh","descr_agglo","descr_athmo","descr_lum","descr_etat_surf","description_intersection","an_nais","age","place","descr_dispo_secu","descr_grav","descr_motif_traj","descr_type_col"
200900000141,"A01",744200,"2009-01-27 13:15:00","PARIS 18","75118",48.8925,2.3444,"Autobus","En agglomération","Normale","Plein jour","Normale","Intersection en X","1980","43","1","Présence d'une ceinture de sécurité - Utilisation non déterminable","Indemne","Utilisation professionnelle","Deux véhicules - Frontale"
200900000170,"B01",744262,"2009-01-01 18:50:00","PARIS 18","75118",48.8925,2.3444,"Scooter > 50 cm3 et <= 125 cm3","En agglomération","Normale","Nuit avec éclairage public allumé","Mouillée","Hors intersection","1978","45","1","Utilisation d'un casque ","Indemne","Promenade – loisirs","Deux véhicules - Frontale"
200900000250,"B01",744406,"2009-01-11 09:50:00","PARIS 12","75112",48.8352,2.4458,"Autobus","En agglomération","Normale","Plein jour","Normale","Hors intersection","1975","48","1","Utilisation d'une ceinture de sécurité ","Indemne","Utilisation professionnelle","Deux véhicules - Frontale"
200900000391,"A01",744700,"2009-01-10 09:25:00","PARIS 10","75110",48.8761,2.3602,"VL seul","En agglomération","Normale","Plein jour","Normale","Hors intersection","1976","47","1","Présence d'une ceinture de sécurité - Utilisation non déterminable","Indemne","Promenade – loisirs","Deux véhicules - Frontale"
200900000436,"B01",744779,"2009-01-11 21:10:00","PARIS 12","75112",48.8352,2.4458,"VL seul","En agglomération","Normale","Nuit avec éclairage public allumé","Normale","Intersection en X","1957","66","1","Utilisation d'une ceinture de sécurité ","Indemne","Domicile – travail","Deux véhicules - Frontale"
200900000499,"B01",744905,"2009-01-09 16:45:00","PARIS 13","75113",48.8283,2.3627,"VL seul","En agglomération","Normale","Plein jour","Normale","Intersection en X","1966","57","1","Utilisation d'une ceinture de sécurité ","Indemne","Domicile – travail","Deux véhicules - Frontale"
200900000660,"B01",745248,"2009-02-04 08:30:00","PARIS 12","75112",48.8352,2.4458,"VL seul","En agglomération","Autre","Plein jour","Autre","Intersection en Y","1959","64","1","Utilisation d'une ceinture de sécurité ","Indemne","Domicile – travail","Deux véhicules - Frontale"
200900000694,"B01",745308,"2009-02-05 14:45:00","PARIS 06","75106",48.8493,2.3324,"VL seul","En agglomération","Temps couvert","Plein jour","Mouillée","Intersection en T","1971","52","1","Utilisation d'une ceinture de sécurité ","Indemne","Utilisation professionnelle","Deux véhicules - Frontale"
200900001448,"A01",746824,"2009-03-06 12:30:00","PARIS 20","75120",48.8632,2.4001,"VL seul","En agglomération","Normale","Plein jour","Normale","Intersection en Y","1967","56","1","Présence d'une ceinture de sécurité - Utilisation non déterminable","Indemne","Promenade – loisirs","Deux véhicules - Frontale"
200900001459,"B01",746851,"2009-03-31 16:25:00","PARIS 20","75120",48.8632,2.4001,"VL seul","En agglomération","Normale","Plein jour","Normale","Hors intersection","1965","58","1","Utilisation d'une ceinture de sécurité ","Indemne","Promenade – loisirs","Deux véhicules - Frontale"
200900002746,"B01",749516,"2009-04-07 09:35:00","PARIS 20","75120",48.8632,2.4001,"Autobus","En agglomération","Pluie légère","Plein jour","Mouillée","Hors intersection","1980","43","1","Présence d'une ceinture de sécurité - Utilisation non déterminable","Indemne","Utilisation professionnelle","Deux véhicules - Frontale"
200900002771,"A01",749563,"2009-04-07 20:45:00","PARIS 09","75109",48.876,2.3375,"VL seul","En agglomération","Normale","Nuit avec éclairage public allumé","Normale","Intersection en X","1978","45","1","Présence d'une ceinture de sécurité - Utilisation non déterminable","Indemne","Utilisation professionnelle","Deux véhicules - Frontale"
200900002855,"B01",749737,"2009-04-11 21:25:00","PARIS 19","75119",48.8817,2.3834,"VL seul","En agglomération","Pluie légère","Nuit avec éclairage public allumé","Mouillée","Hors intersection","1960","63","1","Utilisation d'une ceinture de sécurité ","Indemne","Autre","Deux véhicules - Frontale"
200900003132,"B01",750283,"2009-04-24 01:40:00","PARIS 17","75117",48.8872,2.3075,"VU seul 1,5T <= PTAC <= 3,5T avec ou sans remorque ","En agglomération","Normale","Nuit avec éclairage public allumé","Normale","Hors intersection","1963","60","1","Utilisation d'une ceinture de sécurité ","Indemne","Utilisation professionnelle","Deux véhicules - Frontale"
