date,ville,latitude,longitude,descr_cat_veh,descr_agglo,descr_athmo,descr_lum,descr_etat_surf,age,place,descr_dispo_secu,descr_grav
883,4344,47.4833,-1.23333,1,1,1,0,8,40,0,14,0
290,6064,45.6,5.63333,0,1,2,4,3,50,0,14,0
309,6064,45.6,5.63333,0,1,2,4,3,49,0,14,0
2261,6283,42.7667,2.98333,0,1,4,3,6,52,0,14,0
3507,5736,45.9667,0.066667,0,1,3,4,7,58,0,14,0
1439,2910,48.2833,-4.05,0,1,3,4,8,40,0,14,0
1548,6514,48.5659,3.39723,0,1,3,4,7,31,0,14,0
74,6135,48.1667,-3.78333,0,1,0,4,8,60,0,14,0
315,5059,43.75,-0.35,0,1,2,3,3,42,0,14,0
1658,3570,43.6167,-0.633333,0,1,0,3,8,38,0,14,0
1658,3570,43.6167,-0.633333,0,1,0,3,8,59,0,14,0
335,2604,49.0833,0.95,0,1,2,0,8,36,0,14,0
502,4156,49.2667,1.38333,4,1,2,4,3,31,0,14,0
528,1652,48.9833,1.19167,0,1,0,3,7,32,0,14,0
636,3382,49.1,0.616667,0,1,3,4,7,28,0,14,0
1489,1792,49.2,1.25,0,1,3,3,7,37,0,14,0
726,5910,44.4833,2.4,0,1,7,4,8,60,0,14,0
957,2195,48.0167,2.9,0,1,0,4,8,47,0,14,0
2212,4872,44.5167,3.91667,0,1,1,0,8,31,0,14,0
504,5233,49.5833,2.08333,4,1,2,4,8,39,0,14,0
402,1343,49.3833,2.08333,1,1,2,4,8,38,0,14,0
266,4499,44.1167,3.83333,0,1,3,3,7,22,0,14,0
233,7958,48.0625,7.48001,0,1,0,4,8,49,0,14,0
739,5769,47.8833,7.01667,0,1,3,4,7,24,0,14,0
575,5069,47.6333,7.1,0,1,3,4,7,43,0,14,0
884,2554,47.9333,-1.6,0,1,1,0,8,27,0,14,0
1883,4546,47.8167,-1.95,0,1,1,4,6,79,0,14,0
1883,4546,47.8167,-1.95,0,1,1,4,6,27,0,14,0
1968,6873,47.7,-2.0,2,1,5,4,6,16,0,11,0
1968,6873,47.7,-2.0,1,1,5,4,6,33,0,14,0
240,5131,47.55,-0.416667,0,1,2,4,3,33,0,14,0
1609,1059,47.65,-0.433333,0,1,7,4,6,35,0,14,0
3655,3305,47.35,-0.85,0,1,3,3,7,23,0,14,0
4157,3786,47.1333,-0.15,0,1,3,4,7,35,0,14,0
2695,5451,47.2667,-0.083333,0,1,3,3,7,48,0,14,0
2160,6818,43.9353,4.32167,0,1,6,4,7,29,0,14,0
692,6208,44.2333,4.13333,0,1,7,4,6,23,0,14,0
550,2361,43.8,4.25,0,1,3,0,7,71,0,14,0
1866,7094,45.5,6.91667,1,1,2,3,3,40,0,14,0
2196,7019,45.6333,-0.65,0,1,3,3,7,53,0,14,0
3812,3861,44.2,3.18333,1,1,6,4,6,61,0,14,0
2191,7907,46.5833,0.266667,0,1,3,3,7,35,0,14,0
3706,3199,47.2833,1.33333,0,1,3,4,7,76,0,7,0
874,1449,48.5,6.51667,0,1,0,0,8,36,0,14,0
874,1449,48.5,6.51667,0,1,0,0,8,56,0,14,0
1994,902,48.6833,5.85,0,1,3,4,7,86,0,14,0
1994,902,48.6833,5.85,0,1,3,4,7,13,2,14,0
2686,7392,48.65,6.18333,0,1,6,0,6,30,0,14,0
3057,1596,45.1833,4.18333,0,1,3,0,6,38,0,7,0
509,7768,49.1667,4.01667,0,1,6,3,6,26,0,14,0
2352,68,48.7667,0.816667,0,1,2,4,3,37,0,14,0
4085,803,46.1833,-1.06667,0,1,3,4,7,64,0,14,0
388,7871,46.15,6.41667,0,1,0,3,0,33,0,14,0
388,7871,46.15,6.41667,0,1,0,3,0,50,0,14,0
5362,6067,45.15,3.53333,1,1,3,4,7,24,0,14,0
5766,6601,45.05,4.03333,0,1,3,4,7,27,0,7,0
5766,6601,45.05,4.03333,0,1,3,4,7,71,0,14,0
5018,3638,46.6167,0.433333,0,1,3,3,7,22,0,14,0
2676,6578,45.1333,0.85,2,1,5,4,2,40,0,11,0
3161,1731,45.25,1.15,0,1,3,4,7,22,0,14,0
1233,5544,48.0589,5.05695,0,1,2,3,6,29,0,14,0
3100,7306,46.3333,6.68333,0,1,2,3,3,43,0,14,0
4181,5350,46.0,6.0,0,1,3,4,7,19,0,14,0
4182,2293,43.9,2.0,0,1,3,4,7,50,0,14,0
2847,254,48.9583,4.36667,0,1,3,0,7,35,0,14,0
1249,4242,47.3667,5.15,0,1,0,3,8,44,0,14,0
1249,4242,47.3667,5.15,0,1,0,3,8,23,0,14,0
1834,6491,47.1167,5.05,1,1,0,4,0,59,0,14,0
939,1105,47.25,5.15,0,1,5,3,6,52,0,14,0
1922,3955,43.6167,3.73333,0,1,3,3,7,27,0,14,0
646,5456,43.8333,3.91667,0,1,7,4,7,71,0,14,0
2014,5601,43.4167,3.3,0,1,3,3,7,23,0,8,0
623,1484,43.65,3.55,0,1,3,4,7,49,0,14,0
184,7597,43.3,3.41667,0,1,3,4,7,48,0,14,0
2356,5978,48.6333,4.95,0,1,5,4,6,61,0,14,0
2356,5978,48.6333,4.95,0,1,5,4,6,36,1,14,0
1109,2036,43.6667,1.48333,0,1,3,1,7,56,0,14,0
328,4951,47.7833,-3.41667,1,1,3,3,7,25,0,14,0
2173,2234,47.6833,-2.55,0,1,3,0,7,56,0,14,0
220,5421,47.5333,-2.76667,0,1,5,4,8,58,0,14,0
220,5421,47.5333,-2.76667,0,1,5,4,8,27,0,14,0
3757,4594,47.5333,-1.88333,0,1,3,3,7,36,0,14,0
3724,7374,47.1667,-1.26667,3,1,3,4,7,41,0,14,0
3973,6217,47.6333,-2.13333,1,1,3,4,7,50,0,14,0
2258,6724,45.3833,1.36667,0,1,3,1,7,44,0,14,0
3970,3988,45.3167,1.76667,0,1,3,4,7,25,0,14,0
6596,5451,47.2667,-0.083333,0,1,3,4,7,50,0,14,0
6007,5255,44.2,4.15,0,1,3,4,7,46,0,14,0
473,1995,48.4167,4.58333,1,1,6,4,8,53,0,14,0
3980,941,48.4,4.46667,1,1,3,4,7,26,0,14,0
3980,941,48.4,4.46667,1,1,3,4,7,24,1,14,0
3059,4277,48.4333,3.75,0,1,2,0,3,23,0,14,0
4940,7182,48.3667,3.53333,0,1,5,3,6,3,4,8,0
4940,7182,48.3667,3.53333,0,1,5,3,6,26,3,14,0
4940,7182,48.3667,3.53333,0,1,5,3,6,28,1,14,0
4940,7182,48.3667,3.53333,0,1,5,3,6,24,4,14,0
4940,7182,48.3667,3.53333,0,1,5,3,6,27,4,14,0
